"vesselID_randomized","year","cpue_pred","year.SZ","diesel_volume","diesel_usd","days","fishers","simpson.div","richness","beta.bray","fishing.area.km2","median.latitude","median.longitude","boatsize","boatpower","income","income_perday","income_perkg","revenue_per_fisher_perday","revenue_per_fisher_perday_perkg","cpue_obs","cpue_base","cpue_diff"
19,"2009",179.955258888303,"2009.554",0.465034002812746,341.393245641111,2.75,2,0.691742693418229,5.5,0.545284974093264,4106.88,-4.90277777777778,55.4444444444444,9.144,34,9209.58051513575,3172.83327628037,18.7289242374532,385.611139220977,1.64949307743806,170.916666666667,321.808056963673,-141.85279807537
19,"2010",150.904593463337,"2010.554",0.351982516305641,265.882177701646,2,2,0.583298555668457,5,0.89138423846468,4106.88,-4.86111111111111,55.5833333333333,9.144,34,16565.2166131236,8282.60830656182,24.9476153812103,210.291854675019,4.12901197191151,332,321.808056963673,-170.903463500336
19,"2011",129.842385683918,"2011.554",0.278225763644585,272.661248371694,2.33333333333333,2,0.600675787638622,4.5,0.699361676401036,2737.92,-5.125,55.4791666666667,9.144,34,7267.66633167866,3163.89389140589,24.4705990593194,335.327225533024,2.14265088583925,129.009166666667,321.808056963673,-191.965671279755
19,"2012",130.834832340237,"2012.554",NA,NA,3,NA,0.688488041695388,5,0.848225737494656,3080.16,-5.17592592592593,55.4907407407407,9.144,34,17643.1671400019,5881.05571333398,26.6111118250406,74.2398106959886,1.6209565654146,221,321.808056963673,-190.973224623435
19,"2013",135.450372106194,"2013.554",0.294143305718363,321.374520867099,2.2,3,0.432845509434675,3.6,0.826197611108766,4106.88,-5.09722222222222,55.4861111111111,9.144,34,9657.76563408204,3973.19915736883,26.0233474653949,447.396271622573,1.61319642499728,167.186666666667,321.808056963673,-186.357684857479
19,"2014",136.318106286752,"2014.554",0.345942520331035,358.067688940321,2.9,2,0.56360461203448,4.8,0.679223060233495,NA,NA,NA,9.144,34,22974.8571482325,7991.2174623965,49.1151832505659,477.60948796183,1.99890954082566,161.683333333333,321.808056963673,-185.48995067692
19,"2015",139.804185220345,"2015.554",0.337185704912395,189.075602561529,2.5,3,0.57694962645105,5,0.481851179673321,NA,NA,NA,9.144,34,23850.7397375501,9167.10787212243,49.4461890327437,596.69198826936,1.6392637040367,183.666666666667,321.808056963673,-182.003871743327
19,"2016",140.186048607663,"2016.554",0.470414733840382,255.395999247507,3,3,0.663104763319777,5.66666666666667,0.416470588235294,NA,NA,NA,9.144,34,26648.2387123224,8882.7462374408,52.4406487757072,616.911153727179,2.44754213550246,172,321.808056963673,-181.622008356009
95,"2006",191.033633160335,"2006.563",0.0993200584968373,62.8014787785201,1.5,3,0.53508167971828,3.5,0.818224820083116,1368.96,-3.83333333333333,55.75,8,75,5675.07384162078,3080.73705304301,18.2106482369472,377.888700409643,1.70769399404773,147.985,248.150627602364,-57.1169944420294
95,"2007",166.342028554011,"2007.563",0.109668699345546,68.1624538483385,1,3.125,0.604639499116128,6,0.869724741243952,684.48,-3.83333333333333,55.8333333333333,8,75,6802.80090437158,6802.80090437158,20.1194868814964,153.778995333711,0.237434179958483,338.12,248.150627602364,-81.8085990483526
